Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
134,0,3,3,1984,1,2,3,47,3,1
135,0,3,4,10144,2,3,2,21,3,1
136,0,5,4,1240,0,4,2,38,3,1
137,0,4,2,8613,4,2,3,27,3,1
138,2,3,4,766,3,2,3,66,2,0
139,2,5,4,2728,0,3,3,35,3,1
140,3,3,4,1881,1,2,2,44,2,1
141,3,3,1,709,4,1,4,27,1,1
142,2,3,4,4795,1,1,2,30,4,1
143,1,3,4,3416,1,2,3,27,4,1
144,1,3,3,2462,1,2,3,22,3,0
145,0,5,3,2288,1,1,2,23,3,1
146,2,2,10,3566,2,3,3,30,3,1
147,1,5,1,860,1,4,2,39,3,1
148,0,5,1,682,2,3,2,51,3,1
149,1,5,3,5371,1,2,3,28,3,1
150,0,5,4,1582,4,4,3,46,3,1
151,0,3,4,1346,2,4,3,42,3,1
152,0,3,4,1924,1,2,3,38,3,1
153,3,3,4,5848,1,2,3,24,3,1
154,2,5,2,7758,4,4,2,29,3,1
155,2,4,10,6967,2,3,3,36,4,1
156,1,3,3,1282,1,2,2,20,3,0
157,1,5,6,1288,2,4,3,48,3,1
158,1,2,9,339,1,4,4,45,2,1
159,2,3,1,3512,2,3,3,38,3,1
160,0,5,4,1898,0,2,3,34,2,1
161,0,5,4,2872,2,4,3,36,3,1
162,0,5,1,1055,1,1,2,30,3,1
163,0,3,5,1262,3,3,3,36,3,1
164,2,3,1,7308,1,0,3,70,4,1
165,0,3,1,909,3,4,3,36,3,1
166,0,3,3,2978,3,2,3,32,3,1
167,1,3,3,1131,1,0,2,33,3,0
168,2,3,3,1577,4,1,2,20,3,1
169,0,3,3,3972,1,3,2,25,3,1
170,2,5,10,1935,1,4,1,31,3,0
171,1,1,1,950,1,4,3,33,3,0
172,0,3,3,763,1,2,2,26,3,1
173,2,4,3,2064,1,0,2,34,4,0
174,2,3,4,1414,1,2,3,33,3,1
175,1,4,7,3414,1,1,3,26,3,0
176,0,2,2,7485,0,0,2,53,4,0
177,1,3,3,2577,1,2,1,42,3,1
178,1,5,4,338,3,4,3,52,3,1
179,0,3,4,1963,1,3,3,31,4,1
180,1,5,1,571,1,4,3,65,3,1
181,0,4,10,9572,1,1,1,28,3,0
182,2,4,10,4455,1,2,1,30,4,0
183,1,2,1,1647,0,2,3,40,2,0
184,0,5,3,3777,4,2,3,50,3,1
185,2,5,1,884,1,4,3,36,3,0
186,0,5,4,1360,1,2,3,31,3,1
187,2,2,2,5129,1,4,2,74,4,0
188,2,5,1,1175,1,0,3,68,1,1
189,1,3,4,674,2,3,4,20,3,0
190,2,1,3,3244,1,2,2,33,3,1
191,0,3,10,4591,4,2,3,54,4,0
192,2,1,10,3844,2,3,3,34,2,0
193,2,3,10,3915,1,2,3,36,3,0
194,0,3,4,2108,1,3,4,29,3,1
195,2,3,4,3031,2,2,3,21,3,0
196,2,5,7,1501,1,4,2,34,4,0
197,0,5,4,1382,1,2,2,28,3,1
198,2,3,3,951,2,1,2,27,3,0
199,2,3,2,2760,0,4,3,36,3,1
200,2,4,3,4297,1,4,1,40,4,0
201,0,5,7,936,3,4,3,52,3,1
202,1,3,1,1168,1,2,4,27,2,1
203,0,4,10,5117,1,3,3,26,3,1
204,1,3,9,902,1,3,4,21,3,0
205,0,5,1,1495,1,4,3,38,2,1
206,1,5,2,10623,1,4,3,38,4,1
207,0,5,3,1935,1,4,3,43,3,1
208,2,5,5,1424,1,3,3,26,3,1
209,1,3,10,6568,1,2,4,21,2,1
210,0,3,2,1413,4,3,3,55,3,1
211,0,5,4,3074,0,2,3,33,3,1
212,0,3,4,3835,0,4,2,45,2,1
213,1,1,10,5293,1,0,3,50,3,0
214,3,4,10,1908,1,4,3,66,4,0
215,0,5,4,3342,0,4,3,51,3,1
216,2,5,9,932,0,3,2,39,2,1
217,1,1,10,3104,1,3,3,31,3,1
218,3,3,4,3913,1,2,3,23,3,1
219,1,3,3,3021,1,2,1,24,2,1
220,0,3,1,1364,1,2,2,64,3,1
221,2,3,4,625,1,1,4,26,2,1
222,1,3,7,1200,0,2,2,23,3,1
223,0,3,4,707,1,2,3,30,3,1
224,0,4,10,2978,0,2,3,32,3,1
225,0,3,2,4657,1,2,3,30,3,1
226,0,1,6,2613,1,2,3,27,3,1
227,2,3,4,10961,4,3,3,27,3,0
228,1,3,3,7865,1,4,3,53,4,0
229,0,3,4,1478,1,3,3,22,3,0
230,1,3,3,3149,1,1,3,22,3,1
231,3,3,4,4210,1,2,3,26,3,0
232,0,3,1,2507,3,4,3,51,2,1
233,0,3,4,2141,2,3,3,35,3,1
234,2,3,4,866,1,2,4,25,2,1
235,0,5,4,1544,1,3,3,42,2,1
236,1,3,4,1823,1,0,3,30,4,0
237,2,3,1,14555,0,0,3,23,1,0
238,2,3,10,2767,2,4,1,61,2,0
239,0,5,4,1291,1,2,2,35,3,1
240,1,3,4,2522,1,4,3,39,3,1
241,1,3,1,915,0,4,2,29,3,0
242,0,3,4,1595,1,3,3,51,3,1
243,1,1,2,4605,1,4,3,24,3,0
244,0,5,10,1185,1,2,2,27,3,1
245,0,2,9,3447,3,2,2,35,2,1
246,0,3,10,1258,1,3,3,25,3,1
247,0,5,4,717,1,4,3,52,3,1
248,0,1,1,1204,2,2,3,35,3,1
249,3,3,3,1925,1,2,3,26,3,1
250,0,3,4,433,1,0,2,22,3,0
251,1,5,1,666,4,3,2,39,2,1
252,3,3,3,2251,1,2,2,46,2,1
253,2,3,1,2150,1,2,2,24,3,0
254,0,4,3,4151,2,2,3,35,3,1
255,2,3,3,2030,0,3,3,24,3,1
256,2,4,4,7418,0,2,3,27,2,1
257,0,5,4,2684,1,2,3,35,2,1
258,1,2,4,2149,1,2,1,29,3,0
259,0,3,2,3812,2,1,2,23,3,1
260,0,5,4,1154,2,0,2,57,2,1
261,1,3,3,1657,1,2,3,27,3,1
262,1,3,4,1603,1,4,2,55,3,1
263,1,5,1,5302,1,4,3,36,4,1
264,0,5,7,2748,1,4,2,57,2,1
265,0,5,1,1231,1,4,3,32,2,1
266,2,3,4,802,1,4,3,37,3,0
267,0,5,10,6304,0,4,3,36,3,1
268,0,3,4,1533,1,1,2,38,3,1
269,1,3,1,8978,1,4,1,45,4,0
270,0,3,4,999,0,4,3,25,3,1
271,0,3,1,2662,0,3,3,32,3,1
272,0,5,3,1402,3,3,2,37,3,1
273,2,2,1,12169,0,0,3,36,4,1
274,2,3,4,3060,1,3,3,28,3,0
275,1,3,6,11998,1,1,1,34,2,0
276,0,3,4,2697,1,2,3,32,3,1
277,0,5,4,2404,1,2,2,26,3,1
278,1,3,3,1262,0,4,1,49,2,1
279,0,3,3,4611,1,1,2,32,3,0
280,0,3,4,1901,2,2,3,29,4,1
281,0,5,2,3368,4,4,3,23,3,1
282,0,3,3,1574,1,2,3,50,3,1
283,3,2,4,1445,0,3,3,49,2,1
284,0,5,3,1520,0,4,3,63,3,1
285,2,5,1,3878,2,1,1,37,3,1
286,1,3,1,10722,1,1,2,35,2,1
287,1,3,2,4788,1,3,3,26,3,1
288,2,4,0,7582,2,0,3,31,4,1
289,2,3,4,1092,1,2,2,49,3,1
290,1,4,4,1024,1,1,4,48,3,0
291,0,3,10,1076,1,2,4,26,3,1
292,2,3,2,9398,1,1,4,28,4,0
293,1,5,2,6419,1,4,2,44,4,1
294,3,5,2,4796,1,4,3,56,3,1
295,0,5,10,7629,0,4,1,46,4,1
296,2,3,3,9960,1,1,2,26,3,0
297,0,3,2,4675,0,1,2,20,3,1
298,0,3,1,1287,0,4,3,45,2,1
299,0,3,3,2515,1,2,3,43,3,1
300,2,5,3,2745,4,3,3,32,3,1
301,0,3,1,672,1,0,2,54,1,1
302,2,1,4,3804,1,2,2,42,3,0
303,3,5,1,1344,0,3,3,37,2,0
304,1,5,1,1038,1,3,3,49,3,1
305,0,5,1,10127,3,2,3,44,3,0
306,0,3,3,1543,4,2,1,33,3,1
307,0,3,2,4811,0,3,2,24,2,1
308,1,3,4,727,2,1,4,33,2,0
309,2,3,3,1237,1,2,2,24,3,0
310,2,3,1,276,1,2,4,22,2,1
311,2,3,0,5381,0,0,3,40,1,1
312,0,3,3,5511,2,2,3,25,3,1
313,3,3,3,3749,1,1,2,26,3,1
314,2,3,1,685,1,3,4,25,2,0
315,3,3,1,1494,0,1,3,29,2,1
316,1,2,3,2746,1,4,3,31,3,0
317,1,3,3,708,1,2,3,38,2,1
318,2,3,3,4351,0,2,2,48,2,1
319,0,5,7,701,1,2,3,32,3,1
320,1,4,3,3643,1,4,2,27,2,1
321,2,5,1,4249,1,0,4,28,4,0
322,1,3,4,1938,1,1,1,32,3,0
323,1,3,2,2910,1,3,3,34,4,1
324,1,3,3,2659,4,2,3,28,3,1
325,0,5,1,1028,1,2,2,36,3,1
326,1,5,1,3398,1,3,3,39,2,1
327,0,5,3,5801,0,4,3,49,3,1
328,0,3,1,1525,4,3,2,34,3,1
329,3,3,4,4473,1,4,3,31,3,1
330,2,3,4,1068,1,4,3,28,3,1
331,1,5,2,6615,1,0,3,75,4,1
332,0,5,7,1864,2,2,2,30,3,0
333,2,3,1,7408,2,1,2,24,4,0
334,0,5,2,11590,2,2,2,24,2,0
335,1,1,3,4110,1,4,3,23,3,0
336,1,5,3,3384,1,2,1,44,4,0
337,2,3,4,2101,1,1,2,23,2,1
338,1,3,5,1275,0,2,2,24,3,0
339,1,3,3,4169,1,2,3,28,3,1
340,2,3,3,1521,1,2,1,31,2,1
341,2,5,7,5743,1,1,2,24,3,1
342,1,3,3,3599,1,3,2,26,2,1
343,2,3,4,3213,3,1,4,25,3,1
344,2,3,10,4439,1,4,3,33,4,1
345,3,3,1,3949,1,1,3,37,2,1
346,0,5,4,1459,1,2,2,43,2,1
347,2,5,4,882,1,1,3,23,3,1
348,2,3,4,3758,3,0,2,23,1,1
349,0,4,10,1743,2,2,3,34,2,1
350,2,5,7,1136,4,4,3,32,3,0
351,0,3,5,1236,1,1,2,23,3,1
352,2,3,3,959,1,2,2,29,3,0
353,0,5,2,3229,0,0,3,38,4,1
354,1,1,4,6199,1,2,3,28,3,0
355,0,3,7,727,3,4,3,46,3,1
356,2,3,1,1246,1,1,3,23,2,0
357,0,5,4,2331,0,4,3,49,3,1
358,0,4,4,4463,1,2,3,26,4,0
359,0,3,4,776,1,2,4,28,3,1
360,1,3,3,2406,1,3,2,23,3,0
361,2,3,7,1239,0,2,3,61,3,1
362,3,3,4,3399,0,4,3,37,4,1
363,3,4,1,2247,1,2,2,36,3,1
364,0,3,3,1766,1,2,4,21,3,1
365,1,3,3,2473,1,0,3,25,1,0
366,0,3,10,1542,1,3,3,36,3,1
367,0,5,2,3850,1,3,3,27,3,1
368,1,3,3,3650,1,1,2,22,3,1
369,1,3,3,3446,1,4,3,42,3,0
370,2,3,3,3001,1,3,2,40,3,1
371,0,3,1,3079,0,2,3,36,3,1
372,0,5,4,6070,1,4,3,33,3,1
373,0,5,3,2146,1,1,2,23,3,1
374,0,5,1,13756,0,4,3,63,4,1
375,2,2,0,14782,2,4,2,60,4,0
376,1,2,10,7685,1,3,2,37,3,0
377,0,4,4,2320,1,0,4,34,3,1
378,0,4,4,846,0,4,3,36,3,1
379,2,3,1,14318,1,4,3,57,4,0
380,0,5,1,362,2,2,2,52,2,1
381,1,3,3,2212,0,3,3,39,3,1
382,2,3,2,12976,1,0,2,38,4,0
383,0,3,1,1283,0,3,2,25,3,1
384,3,3,1,1330,1,1,3,26,3,1
385,0,4,10,4272,2,2,3,26,2,1
386,0,5,4,2238,1,2,2,25,3,1
387,0,3,4,1126,0,1,2,21,3,1
388,2,5,3,7374,1,0,3,40,4,1
389,2,5,10,2326,3,2,3,27,3,1
390,0,3,10,1449,1,3,2,27,3,1
391,0,3,1,1820,1,2,4,30,4,1
392,2,3,3,983,4,1,2,19,2,1
393,1,3,1,3249,1,3,3,39,4,1
394,1,5,4,1957,1,3,2,31,3,1
395,0,5,3,2406,1,0,3,31,4,1
396,2,4,7,11760,2,3,3,32,3,1
397,1,3,3,2578,1,0,2,55,4,1
398,1,5,3,2348,1,2,4,46,3,1
399,2,3,1,1223,1,4,1,46,3,0
400,0,5,4,1516,4,2,2,43,2,1
401,0,3,4,1473,1,1,4,39,3,1
402,2,5,10,1887,0,2,4,28,3,1
403,0,4,10,8648,1,1,3,27,3,0
404,0,4,1,802,1,2,3,27,2,1
405,2,4,1,2899,0,4,3,43,3,1
406,2,3,4,2039,1,1,4,22,3,0
407,0,5,2,2197,0,3,3,43,3,1
408,1,3,4,1053,1,1,4,27,3,1
409,0,3,4,3235,3,4,1,26,4,1
410,3,5,1,939,3,3,4,28,3,0
411,2,3,4,1967,1,4,2,20,3,1
412,0,5,2,7253,1,3,3,35,4,1
413,0,5,10,2292,1,0,3,42,4,0
414,0,3,1,1597,3,2,3,40,2,1
415,1,3,1,1381,0,2,2,35,3,0
416,0,5,2,5842,1,4,3,35,3,1
417,1,3,1,2579,1,1,3,33,2,0
418,1,4,7,8471,0,2,2,23,3,1
419,0,3,1,2782,3,3,2,31,4,1
420,2,3,1,1042,0,2,2,33,3,0
421,0,3,1,3186,4,3,2,20,3,1
422,2,3,2,2028,0,2,3,30,3,1
423,2,5,1,958,1,3,3,47,2,1
424,0,4,3,1591,2,3,3,34,4,1
425,2,3,3,2762,0,4,2,25,3,0
426,2,3,2,2779,1,2,4,21,3,1
427,0,5,4,2743,1,4,3,29,3,1
428,0,5,4,1149,4,2,3,46,3,1
429,0,3,3,1313,1,4,3,20,3,1
430,1,5,6,1190,1,0,2,55,1,0
431,0,3,10,3448,1,3,3,74,2,1
432,2,3,0,11328,1,2,3,29,4,0
433,1,5,3,1872,1,0,3,36,4,1
434,0,5,6,2058,1,2,1,33,3,1
435,1,3,3,2136,1,2,3,25,3,1
436,2,3,4,1484,0,2,4,25,3,0
437,0,3,6,660,3,3,4,23,2,1
438,0,5,1,1287,4,4,2,37,3,1
439,1,5,6,3394,1,0,3,65,1,1
440,3,2,10,609,1,1,2,26,1,0
441,0,3,1,1884,1,4,3,39,4,1
442,1,3,3,1620,1,2,2,30,3,1
443,2,4,0,2629,1,2,3,29,3,1
444,0,3,7,719,1,4,3,41,2,0
445,2,5,3,5096,1,2,2,30,4,0
446,0,5,7,1244,0,4,2,41,2,1
447,1,3,1,1842,1,1,2,34,3,0
448,2,3,4,2576,1,2,3,35,3,1
449,3,3,3,1424,0,4,2,55,4,1
450,2,4,6,1512,4,2,4,61,3,0
451,0,5,2,11054,0,2,3,30,4,1
452,0,3,4,518,1,2,2,29,3,1
453,0,1,3,2759,1,4,3,34,3,1
454,0,3,2,2670,1,4,3,35,4,1
455,1,3,1,4817,1,3,3,31,3,0
456,0,3,2,2679,1,1,2,29,4,1
457,1,5,1,3905,1,2,3,36,3,1
458,1,3,2,3386,1,4,3,35,3,0
459,1,3,5,343,1,1,2,27,3,1
460,0,3,4,4594,1,1,3,32,3,1
461,1,3,3,3620,1,2,3,37,3,1
462,1,3,1,1721,1,1,3,36,3,1
463,2,3,3,3017,1,1,2,34,4,1
464,2,3,9,754,0,4,3,38,3,1
465,0,3,10,1950,1,3,3,34,3,1
466,1,3,2,2924,1,2,3,63,3,1
467,1,4,4,1659,1,1,2,29,2,0
468,0,4,4,7238,0,4,3,32,3,1
469,0,4,10,2764,1,2,2,26,3,1
470,0,4,2,4679,1,3,3,35,2,1
471,2,3,4,3092,2,1,4,22,3,0
472,1,3,7,4480,1,1,2,23,3,0
473,1,3,1,654,1,2,3,28,2,0
474,0,3,9,1238,0,0,3,36,4,1
475,2,5,4,1245,1,2,4,33,3,0
476,1,1,3,3114,1,1,2,26,3,0
477,0,3,2,2569,3,2,3,24,3,1
478,3,3,4,5152,1,3,3,25,3,1
479,2,3,10,1037,2,3,3,39,2,1
480,1,5,3,1478,1,4,3,44,3,1
481,2,5,4,3573,1,2,2,23,2,1
482,2,3,1,1201,1,1,3,26,3,1
483,1,3,3,3622,4,4,2,57,3,1
484,0,4,3,960,4,3,2,30,3,1
485,0,5,1,1163,3,2,3,44,3,1
486,2,4,1,1209,1,0,3,47,4,0
487,0,3,4,3077,1,2,3,52,3,1
488,0,3,1,3757,1,4,2,62,3,1
489,0,3,1,1418,2,2,3,35,2,1
490,0,3,1,3518,1,2,3,26,3,1
491,0,5,4,1934,1,4,3,26,3,1
492,2,1,10,8318,1,4,2,42,4,0
493,0,5,4,1237,2,2,2,27,3,1
494,2,3,4,368,0,4,3,38,3,1
495,1,5,1,2122,1,2,3,39,2,1
496,1,3,3,2996,0,2,4,20,3,0
497,2,3,3,9034,2,1,3,29,4,0
498,0,5,3,1585,1,3,3,40,3,1
499,2,3,4,1301,1,4,4,32,2,1
500,3,5,1,1323,2,4,1,28,3,1
501,1,3,1,3123,1,1,2,27,3,0
502,1,3,2,5493,1,4,3,42,3,1
503,3,3,4,1126,2,4,1,49,3,1
504,2,5,4,1216,2,1,3,38,3,0
505,1,3,1,1207,1,1,2,24,3,0
506,0,3,1,1309,0,2,3,27,2,0
507,3,5,2,2360,3,2,3,36,3,1
508,2,2,1,6850,2,0,3,34,4,0
509,0,3,4,1413,1,2,4,28,3,1
510,0,3,2,8588,2,4,3,45,4,1
511,1,3,1,759,1,3,3,26,3,0
512,0,3,2,4686,1,2,3,32,4,1
513,3,3,10,2687,1,3,3,26,3,1
514,2,4,4,585,1,2,4,20,3,1
515,0,3,1,2255,0,1,3,54,3,1
516,1,5,1,609,1,3,2,37,3,1
517,1,5,1,1361,1,1,3,40,2,1
518,0,5,3,7127,1,1,2,23,3,0
519,1,3,1,1203,2,4,3,43,3,1
520,0,5,4,700,0,4,3,36,3,1
521,0,5,6,5507,1,4,3,44,3,1
522,1,3,4,3190,1,2,2,24,3,0
523,1,1,3,7119,1,2,3,53,3,0
524,0,3,2,3488,2,3,2,23,3,1
525,2,3,4,1113,1,2,2,26,2,1
526,2,3,2,7966,1,1,3,30,3,1
527,0,5,7,1532,2,2,2,31,3,1
528,0,5,4,1503,1,3,3,42,2,1
529,1,3,4,2302,1,2,1,31,3,0
530,1,3,1,662,1,1,3,41,2,1
531,2,3,7,2273,1,3,3,32,3,1
532,2,3,1,2631,2,2,2,28,3,0
533,0,4,2,1503,1,2,4,41,3,1
534,0,3,4,1311,2,3,4,26,3,1
535,0,3,4,3105,0,1,3,25,3,1
536,3,5,7,2319,1,1,1,33,3,0
537,1,3,1,1374,0,0,2,75,4,1
538,2,5,3,3612,1,4,2,37,3,1
539,1,3,1,7763,1,4,3,42,4,0
540,3,3,3,3049,1,1,2,45,2,1
541,2,3,4,1534,1,1,4,23,3,0
542,0,4,1,2032,1,4,3,60,3,1
543,1,3,3,6350,0,4,3,31,3,0
544,3,3,3,2864,1,2,3,34,2,0
545,0,5,1,1255,1,4,3,61,2,1
546,1,4,1,1333,1,0,3,43,3,0
547,0,5,1,2022,1,2,2,37,3,1
548,0,3,4,1552,1,3,3,32,3,1
549,1,2,4,626,1,2,2,24,2,0
550,0,5,2,8858,0,3,3,35,3,1
551,0,5,6,996,0,3,2,23,3,1
552,0,2,4,1750,3,4,3,45,2,1
553,1,3,4,6999,1,3,4,34,3,0
554,2,5,1,1995,2,1,3,27,3,1
555,2,3,7,1199,1,3,2,67,4,1
556,2,3,4,1331,1,1,3,22,3,0
557,2,1,1,2278,2,1,2,28,3,0
558,0,1,1,5003,0,2,2,29,3,0
559,1,2,3,3552,1,3,3,27,3,0
560,2,5,3,1928,1,1,3,31,2,0
561,1,3,2,2964,0,4,3,49,3,1
562,1,2,4,1546,1,3,3,24,2,0
563,3,4,4,683,1,1,2,29,3,1
564,2,3,1,12389,0,2,3,37,3,0
565,2,4,10,4712,0,2,3,37,4,1
566,2,4,4,1553,2,3,2,23,3,1
567,1,3,1,1372,1,3,1,36,3,0
568,0,5,4,2578,4,4,3,34,3,1
569,2,3,4,3979,0,3,3,41,3,1
570,1,3,4,6758,1,2,2,31,3,0
571,1,3,3,3234,1,1,2,23,2,0
572,0,5,4,5954,1,3,3,38,3,1
573,0,3,2,5433,0,0,2,26,4,1
574,1,3,10,806,1,2,2,22,2,1
575,2,3,4,1082,1,4,3,27,2,1
576,0,5,3,2788,1,3,2,24,3,1
577,2,3,4,2930,1,3,2,27,3,1
578,0,5,7,1927,0,2,2,33,3,1
579,2,5,1,2820,1,1,1,27,3,0
580,0,3,9,937,1,1,4,27,2,1
581,2,5,1,1056,1,4,3,30,3,0
582,2,5,1,3124,1,1,3,49,2,1
583,0,3,3,1388,1,2,2,26,3,1
584,2,3,6,2384,1,1,3,33,2,0
585,0,3,1,2133,0,4,2,52,4,1
586,1,3,3,2039,1,2,2,20,3,0
587,1,5,1,2799,1,2,3,36,3,1
588,1,3,3,1289,1,2,3,21,2,1
589,1,3,5,1217,1,2,4,47,2,0
590,1,5,3,2246,1,4,3,60,3,0
591,1,5,4,385,1,3,2,58,2,1
592,2,4,1,1965,0,2,2,42,3,1
593,0,3,10,1572,4,4,2,36,2,1
594,2,3,1,2718,1,2,2,20,2,0
595,1,2,0,1358,0,4,3,40,4,0
596,2,2,1,931,2,1,2,32,2,0
597,1,3,1,1442,1,3,2,23,3,0
598,2,1,10,4241,1,2,3,36,2,0
599,0,5,1,2775,1,3,3,31,3,0
600,0,4,10,3863,1,2,3,32,3,1
601,2,3,4,2329,1,1,2,45,3,1
602,2,3,3,918,1,2,2,30,3,0
603,2,2,7,1837,1,3,2,34,2,0
604,0,3,3,3349,1,2,2,28,4,0
605,3,3,3,1275,1,1,2,23,3,1
606,1,2,3,2828,3,2,3,22,3,1
607,0,5,10,4526,1,2,3,74,4,1
608,2,3,4,2671,2,2,2,50,3,0
