Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
48,'<0','existing paid',2,1352,'500<=X<1000',unemployed,'female div/dep/mar',23,'unemp/unskilled non res',1
49,'no checking','critical/other existing credit',10,7228,'<100','1<=X<4','male single',39,'unskilled resident',1
50,'no checking','existing paid',4,2073,'100<=X<500','1<=X<4','female div/dep/mar',28,'skilled',1
51,'0<=X<200','delayed previously',3,2333,'no known savings','<1','male single',29,'unskilled resident',1
52,'0<=X<200','delayed previously',2,5965,'<100','>=7','male single',30,'high qualif/self emp/mgmt',1
53,'no checking','existing paid',4,1262,'<100','1<=X<4','male single',25,'skilled',1
54,'no checking','existing paid',2,3378,'no known savings','1<=X<4','male single',31,'skilled',1
55,'0<=X<200','delayed previously',10,2225,'<100','>=7','male single',57,'skilled',0
56,'no checking','all paid',10,783,'no known savings','1<=X<4','male single',26,'unskilled resident',1
57,'0<=X<200','existing paid',4,6468,'no known savings',unemployed,'male single',52,'high qualif/self emp/mgmt',0
58,'no checking','critical/other existing credit',4,9566,'<100','1<=X<4','female div/dep/mar',31,'skilled',1
59,'>=200','existing paid',10,1961,'<100','>=7','female div/dep/mar',23,'high qualif/self emp/mgmt',1
60,'<0','critical/other existing credit',3,6229,'<100','<1','female div/dep/mar',23,'unskilled resident',0
61,'0<=X<200','existing paid',1,1391,'<100','1<=X<4','male mar/wid',27,'skilled',1
62,'0<=X<200','critical/other existing credit',4,1537,'no known savings','>=7','male single',50,'skilled',1
63,'0<=X<200','no credits/all paid',1,1953,'<100','>=7','male single',61,'high qualif/self emp/mgmt',0
64,'0<=X<200','no credits/all paid',1,14421,'<100','1<=X<4','male single',25,'skilled',0
65,'no checking','existing paid',4,3181,'<100','<1','female div/dep/mar',26,'skilled',1
66,'no checking','existing paid',6,5190,'no known savings','>=7','male single',48,'skilled',1
67,'no checking','existing paid',4,2171,'<100','<1','female div/dep/mar',29,'skilled',1
68,'0<=X<200','existing paid',10,1007,'>=1000','1<=X<4','male mar/wid',22,'skilled',1
69,'no checking','existing paid',7,1819,'<100','1<=X<4','male single',37,'skilled',0
70,'no checking','existing paid',4,2394,'no known savings','1<=X<4','female div/dep/mar',25,'skilled',1
71,'no checking','existing paid',2,8133,'<100','1<=X<4','female div/dep/mar',30,'skilled',1
72,'no checking','critical/other existing credit',4,730,'no known savings','>=7','male single',46,'unskilled resident',1
73,'<0','critical/other existing credit',0,1164,'<100','>=7','male single',51,'high qualif/self emp/mgmt',1
74,'0<=X<200','critical/other existing credit',1,5954,'<100','4<=X<7','female div/dep/mar',41,'unskilled resident',1
75,'<0','existing paid',7,1977,'no known savings','>=7','male single',40,'high qualif/self emp/mgmt',0
76,'<0','critical/other existing credit',2,1526,'<100','>=7','male single',66,'high qualif/self emp/mgmt',1
77,'<0','existing paid',4,3965,'<100','<1','male single',34,'skilled',0
78,'0<=X<200','delayed previously',4,4771,'<100','4<=X<7','male single',51,'skilled',1
79,'no checking','no credits/all paid',2,9436,'no known savings','1<=X<4','male single',39,'unskilled resident',1
80,'0<=X<200','existing paid',3,3832,'<100','<1','male mar/wid',22,'skilled',1
81,'no checking','existing paid',4,5943,'no known savings','<1','female div/dep/mar',44,'skilled',0
82,'no checking','existing paid',4,1213,'500<=X<1000','>=7','male single',47,'skilled',1
83,'no checking','existing paid',1,1568,'100<=X<500','1<=X<4','female div/dep/mar',24,'unskilled resident',1
84,'<0','existing paid',0,1755,'<100','>=7','female div/dep/mar',58,'unskilled resident',1
85,'<0','existing paid',4,2315,'<100','>=7','male single',52,'unskilled resident',1
86,'no checking','critical/other existing credit',1,1412,'<100','1<=X<4','female div/dep/mar',29,'high qualif/self emp/mgmt',1
87,'0<=X<200','critical/other existing credit',3,1295,'<100','<1','female div/dep/mar',27,'skilled',1
88,'0<=X<200','existing paid',7,12612,'100<=X<500','1<=X<4','male single',47,'skilled',0
89,'<0','existing paid',10,2249,'100<=X<500','4<=X<7','male single',30,'high qualif/self emp/mgmt',1
90,'<0','no credits/all paid',6,1108,'<100','4<=X<7','male single',28,'skilled',0
91,'no checking','critical/other existing credit',4,618,'<100','>=7','male single',56,'skilled',1
92,'<0','critical/other existing credit',2,1409,'<100','>=7','male single',54,'skilled',1
93,'no checking','critical/other existing credit',4,797,'no known savings','>=7','female div/dep/mar',33,'unskilled resident',0
94,'>=200','critical/other existing credit',3,3617,'no known savings','>=7','male single',20,'skilled',1
95,'0<=X<200','existing paid',10,1318,'>=1000','>=7','male single',54,'skilled',1
96,'0<=X<200','no credits/all paid',1,15945,'<100','<1','male single',58,'skilled',0
97,'no checking','critical/other existing credit',7,2012,'no known savings','4<=X<7','female div/dep/mar',61,'skilled',1
98,'0<=X<200','existing paid',1,2622,'100<=X<500','1<=X<4','male single',34,'skilled',1
99,'0<=X<200','critical/other existing credit',4,2337,'<100','>=7','male single',36,'skilled',1
100,'0<=X<200','delayed previously',2,7057,'no known savings','4<=X<7','male single',36,'high qualif/self emp/mgmt',1
101,'no checking','existing paid',10,1469,'100<=X<500','>=7','male mar/wid',41,'unskilled resident',1
102,'0<=X<200','existing paid',4,2323,'<100','4<=X<7','male single',24,'skilled',1
103,'no checking','delayed previously',4,932,'<100','1<=X<4','female div/dep/mar',24,'skilled',1
104,'0<=X<200','critical/other existing credit',3,1919,'<100','4<=X<7','male single',35,'skilled',1
105,'no checking','existing paid',2,2445,'no known savings','<1','male mar/wid',26,'skilled',1
106,'0<=X<200','critical/other existing credit',0,11938,'<100','1<=X<4','male single',39,'high qualif/self emp/mgmt',0
107,'no checking','all paid',10,6458,'<100','>=7','male single',39,'high qualif/self emp/mgmt',0
108,'0<=X<200','existing paid',10,6078,'<100','4<=X<7','male single',32,'skilled',1
109,'<0','existing paid',3,7721,'no known savings','<1','female div/dep/mar',30,'skilled',1
110,'0<=X<200','existing paid',1,1410,'500<=X<1000','>=7','male mar/wid',35,'skilled',1
111,'0<=X<200','delayed previously',1,1449,'100<=X<500','>=7','male div/sep',31,'skilled',1
112,'>=200','existing paid',7,392,'<100','<1','female div/dep/mar',23,'skilled',1
113,'0<=X<200','existing paid',10,6260,'<100','4<=X<7','male single',28,'unskilled resident',1
114,'no checking','critical/other existing credit',10,7855,'<100','1<=X<4','female div/dep/mar',25,'skilled',0
115,'<0','existing paid',4,1680,'500<=X<1000','>=7','male mar/wid',35,'skilled',1
116,'no checking','critical/other existing credit',4,3578,'no known savings','>=7','male single',47,'skilled',1
117,'<0','existing paid',4,7174,'no known savings','4<=X<7','female div/dep/mar',30,'high qualif/self emp/mgmt',0
118,'<0','critical/other existing credit',3,2132,'no known savings','<1','female div/dep/mar',27,'skilled',1
119,'<0','critical/other existing credit',3,4281,'500<=X<1000','1<=X<4','female div/dep/mar',23,'skilled',0
120,'0<=X<200','critical/other existing credit',10,2366,'500<=X<1000','4<=X<7','male div/sep',36,'high qualif/self emp/mgmt',1
121,'<0','existing paid',4,1835,'<100','1<=X<4','female div/dep/mar',25,'skilled',0
122,'no checking','critical/other existing credit',2,3868,'<100','>=7','female div/dep/mar',41,'high qualif/self emp/mgmt',1
123,'no checking','existing paid',3,1768,'<100','1<=X<4','male single',24,'unskilled resident',1
124,'>=200','critical/other existing credit',10,781,'<100','>=7','male single',63,'skilled',1
125,'0<=X<200','existing paid',3,1924,'no known savings','<1','female div/dep/mar',27,'skilled',0
126,'<0','critical/other existing credit',10,2121,'<100','1<=X<4','male single',30,'skilled',1
127,'<0','existing paid',4,701,'<100','1<=X<4','male mar/wid',40,'unskilled resident',1
128,'0<=X<200','existing paid',6,639,'<100','1<=X<4','male single',30,'skilled',0
129,'0<=X<200','critical/other existing credit',2,1860,'<100',unemployed,'male single',34,'high qualif/self emp/mgmt',1
130,'<0','critical/other existing credit',10,3499,'<100','1<=X<4','female div/dep/mar',29,'skilled',0
131,'0<=X<200','existing paid',10,8487,'no known savings','4<=X<7','female div/dep/mar',24,'skilled',1
132,'<0','delayed previously',7,6887,'<100','1<=X<4','male single',29,'skilled',0
133,'no checking','existing paid',3,2708,'<100','<1','male single',27,'unskilled resident',1
134,'no checking','existing paid',3,1984,'<100','1<=X<4','male single',47,'skilled',1
135,'no checking','existing paid',4,10144,'100<=X<500','4<=X<7','female div/dep/mar',21,'skilled',1
136,'no checking','critical/other existing credit',4,1240,'no known savings','>=7','female div/dep/mar',38,'skilled',1
137,'no checking','delayed previously',2,8613,'>=1000','1<=X<4','male single',27,'skilled',1
138,'0<=X<200','existing paid',4,766,'500<=X<1000','1<=X<4','male single',66,'unskilled resident',0
139,'0<=X<200','critical/other existing credit',4,2728,'no known savings','4<=X<7','male single',35,'skilled',1
140,'>=200','existing paid',4,1881,'<100','1<=X<4','female div/dep/mar',44,'unskilled resident',1
141,'>=200','existing paid',10,709,'>=1000','<1','male mar/wid',27,'unemp/unskilled non res',1
142,'0<=X<200','existing paid',4,4795,'<100','<1','female div/dep/mar',30,'high qualif/self emp/mgmt',1
143,'<0','existing paid',4,3416,'<100','1<=X<4','male single',27,'high qualif/self emp/mgmt',1
144,'<0','existing paid',3,2462,'<100','1<=X<4','male single',22,'skilled',0
145,'no checking','critical/other existing credit',3,2288,'<100','<1','female div/dep/mar',23,'skilled',1
146,'0<=X<200','all paid',1,3566,'100<=X<500','4<=X<7','male single',30,'skilled',1
147,'<0','critical/other existing credit',10,860,'<100','>=7','female div/dep/mar',39,'skilled',1
148,'no checking','critical/other existing credit',10,682,'100<=X<500','4<=X<7','female div/dep/mar',51,'skilled',1
149,'<0','critical/other existing credit',3,5371,'<100','1<=X<4','male single',28,'skilled',1
150,'no checking','critical/other existing credit',4,1582,'>=1000','>=7','male single',46,'skilled',1
151,'no checking','existing paid',4,1346,'100<=X<500','>=7','male single',42,'skilled',1
152,'no checking','existing paid',4,1924,'<100','1<=X<4','male single',38,'skilled',1
153,'>=200','existing paid',4,5848,'<100','1<=X<4','male single',24,'skilled',1
154,'0<=X<200','critical/other existing credit',2,7758,'>=1000','>=7','female div/dep/mar',29,'skilled',1
155,'0<=X<200','delayed previously',1,6967,'100<=X<500','4<=X<7','male single',36,'high qualif/self emp/mgmt',1
156,'<0','existing paid',3,1282,'<100','1<=X<4','female div/dep/mar',20,'skilled',0
157,'<0','critical/other existing credit',6,1288,'100<=X<500','>=7','male single',48,'skilled',1
158,'<0','all paid',9,339,'<100','>=7','male mar/wid',45,'unskilled resident',1
159,'0<=X<200','existing paid',10,3512,'100<=X<500','4<=X<7','male single',38,'skilled',1
160,'no checking','critical/other existing credit',4,1898,'no known savings','1<=X<4','male single',34,'unskilled resident',1
161,'no checking','critical/other existing credit',4,2872,'100<=X<500','>=7','male single',36,'skilled',1
162,'no checking','critical/other existing credit',10,1055,'<100','<1','female div/dep/mar',30,'skilled',1
163,'no checking','existing paid',5,1262,'500<=X<1000','4<=X<7','male single',36,'skilled',1
164,'0<=X<200','existing paid',10,7308,'<100',unemployed,'male single',70,'high qualif/self emp/mgmt',1
165,'no checking','existing paid',10,909,'500<=X<1000','>=7','male single',36,'skilled',1
166,'no checking','existing paid',3,2978,'500<=X<1000','1<=X<4','male single',32,'skilled',1
167,'<0','existing paid',3,1131,'<100',unemployed,'female div/dep/mar',33,'skilled',0
168,'0<=X<200','existing paid',3,1577,'>=1000','<1','female div/dep/mar',20,'skilled',1
169,'no checking','existing paid',3,3972,'<100','4<=X<7','female div/dep/mar',25,'skilled',1
170,'0<=X<200','critical/other existing credit',1,1935,'<100','>=7','male div/sep',31,'skilled',0
171,'<0','no credits/all paid',10,950,'<100','>=7','male single',33,'skilled',0
172,'no checking','existing paid',3,763,'<100','1<=X<4','female div/dep/mar',26,'skilled',1
173,'0<=X<200','delayed previously',3,2064,'<100',unemployed,'female div/dep/mar',34,'high qualif/self emp/mgmt',0
174,'0<=X<200','existing paid',4,1414,'<100','1<=X<4','male single',33,'skilled',1
175,'<0','delayed previously',7,3414,'<100','<1','male single',26,'skilled',0
176,'no checking','all paid',2,7485,'no known savings',unemployed,'female div/dep/mar',53,'high qualif/self emp/mgmt',0
177,'<0','existing paid',3,2577,'<100','1<=X<4','male div/sep',42,'skilled',1
178,'<0','critical/other existing credit',4,338,'500<=X<1000','>=7','male single',52,'skilled',1
179,'no checking','existing paid',4,1963,'<100','4<=X<7','male single',31,'high qualif/self emp/mgmt',1
180,'<0','critical/other existing credit',10,571,'<100','>=7','male single',65,'skilled',1
181,'no checking','delayed previously',1,9572,'<100','<1','male div/sep',28,'skilled',0
182,'0<=X<200','delayed previously',1,4455,'<100','1<=X<4','male div/sep',30,'high qualif/self emp/mgmt',0
183,'<0','all paid',10,1647,'no known savings','1<=X<4','male single',40,'unskilled resident',0
184,'no checking','critical/other existing credit',3,3777,'>=1000','1<=X<4','male single',50,'skilled',1
185,'0<=X<200','critical/other existing credit',10,884,'<100','>=7','male single',36,'skilled',0
186,'no checking','critical/other existing credit',4,1360,'<100','1<=X<4','male single',31,'skilled',1
187,'0<=X<200','all paid',2,5129,'<100','>=7','female div/dep/mar',74,'high qualif/self emp/mgmt',0
188,'0<=X<200','critical/other existing credit',10,1175,'<100',unemployed,'male single',68,'unemp/unskilled non res',1
189,'<0','existing paid',4,674,'100<=X<500','4<=X<7','male mar/wid',20,'skilled',0
190,'0<=X<200','no credits/all paid',3,3244,'<100','1<=X<4','female div/dep/mar',33,'skilled',1
191,'no checking','existing paid',1,4591,'>=1000','1<=X<4','male single',54,'high qualif/self emp/mgmt',0
192,'0<=X<200','no credits/all paid',1,3844,'100<=X<500','4<=X<7','male single',34,'unskilled resident',0
193,'0<=X<200','existing paid',1,3915,'<100','1<=X<4','male single',36,'skilled',0
194,'no checking','existing paid',4,2108,'<100','4<=X<7','male mar/wid',29,'skilled',1
195,'0<=X<200','existing paid',4,3031,'100<=X<500','1<=X<4','male single',21,'skilled',0
196,'0<=X<200','critical/other existing credit',7,1501,'<100','>=7','female div/dep/mar',34,'high qualif/self emp/mgmt',0
197,'no checking','critical/other existing credit',4,1382,'<100','1<=X<4','female div/dep/mar',28,'skilled',1
198,'0<=X<200','existing paid',3,951,'100<=X<500','<1','female div/dep/mar',27,'skilled',0
199,'0<=X<200','existing paid',2,2760,'no known savings','>=7','male single',36,'skilled',1
200,'0<=X<200','delayed previously',3,4297,'<100','>=7','male div/sep',40,'high qualif/self emp/mgmt',0
201,'no checking','critical/other existing credit',7,936,'500<=X<1000','>=7','male single',52,'skilled',1
202,'<0','existing paid',10,1168,'<100','1<=X<4','male mar/wid',27,'unskilled resident',1
203,'no checking','delayed previously',1,5117,'<100','4<=X<7','male single',26,'skilled',1
204,'<0','existing paid',9,902,'<100','4<=X<7','male mar/wid',21,'skilled',0
205,'no checking','critical/other existing credit',10,1495,'<100','>=7','male single',38,'unskilled resident',1
206,'<0','critical/other existing credit',2,10623,'<100','>=7','male single',38,'high qualif/self emp/mgmt',1
207,'no checking','critical/other existing credit',3,1935,'<100','>=7','male single',43,'skilled',1
208,'0<=X<200','critical/other existing credit',5,1424,'<100','4<=X<7','male single',26,'skilled',1
209,'<0','existing paid',1,6568,'<100','1<=X<4','male mar/wid',21,'unskilled resident',1
210,'no checking','existing paid',2,1413,'>=1000','4<=X<7','male single',55,'skilled',1
211,'no checking','critical/other existing credit',4,3074,'no known savings','1<=X<4','male single',33,'skilled',1
212,'no checking','existing paid',4,3835,'no known savings','>=7','female div/dep/mar',45,'unskilled resident',1
213,'<0','no credits/all paid',1,5293,'<100',unemployed,'male single',50,'skilled',0
214,'>=200','delayed previously',1,1908,'<100','>=7','male single',66,'high qualif/self emp/mgmt',0
215,'no checking','critical/other existing credit',4,3342,'no known savings','>=7','male single',51,'skilled',1
216,'0<=X<200','critical/other existing credit',9,932,'no known savings','4<=X<7','female div/dep/mar',39,'unskilled resident',1
217,'<0','no credits/all paid',1,3104,'<100','4<=X<7','male single',31,'skilled',1
218,'>=200','existing paid',4,3913,'<100','1<=X<4','male single',23,'skilled',1
219,'<0','existing paid',3,3021,'<100','1<=X<4','male div/sep',24,'unskilled resident',1
220,'no checking','existing paid',10,1364,'<100','1<=X<4','female div/dep/mar',64,'skilled',1
221,'0<=X<200','existing paid',4,625,'<100','<1','male mar/wid',26,'unskilled resident',1
222,'<0','existing paid',7,1200,'no known savings','1<=X<4','female div/dep/mar',23,'skilled',1
223,'no checking','existing paid',4,707,'<100','1<=X<4','male single',30,'skilled',1
224,'no checking','delayed previously',1,2978,'no known savings','1<=X<4','male single',32,'skilled',1
225,'no checking','existing paid',2,4657,'<100','1<=X<4','male single',30,'skilled',1
226,'no checking','no credits/all paid',6,2613,'<100','1<=X<4','male single',27,'skilled',1
227,'0<=X<200','existing paid',4,10961,'>=1000','4<=X<7','male single',27,'skilled',0
228,'<0','existing paid',3,7865,'<100','>=7','male single',53,'high qualif/self emp/mgmt',0
229,'no checking','existing paid',4,1478,'<100','4<=X<7','male single',22,'skilled',0
230,'<0','existing paid',3,3149,'<100','<1','male single',22,'skilled',1
231,'>=200','existing paid',4,4210,'<100','1<=X<4','male single',26,'skilled',0
232,'no checking','existing paid',10,2507,'500<=X<1000','>=7','male single',51,'unskilled resident',1
233,'no checking','existing paid',4,2141,'100<=X<500','4<=X<7','male single',35,'skilled',1
234,'0<=X<200','existing paid',4,866,'<100','1<=X<4','male mar/wid',25,'unskilled resident',1
235,'no checking','critical/other existing credit',4,1544,'<100','4<=X<7','male single',42,'unskilled resident',1
236,'<0','existing paid',4,1823,'<100',unemployed,'male single',30,'high qualif/self emp/mgmt',0
237,'0<=X<200','existing paid',10,14555,'no known savings',unemployed,'male single',23,'unemp/unskilled non res',0
238,'0<=X<200','existing paid',1,2767,'100<=X<500','>=7','male div/sep',61,'unskilled resident',0
239,'no checking','critical/other existing credit',4,1291,'<100','1<=X<4','female div/dep/mar',35,'skilled',1
240,'<0','existing paid',4,2522,'<100','>=7','male single',39,'skilled',1
241,'<0','existing paid',10,915,'no known savings','>=7','female div/dep/mar',29,'skilled',0
242,'no checking','existing paid',4,1595,'<100','4<=X<7','male single',51,'skilled',1
243,'<0','no credits/all paid',2,4605,'<100','>=7','male single',24,'skilled',0
244,'no checking','critical/other existing credit',1,1185,'<100','1<=X<4','female div/dep/mar',27,'skilled',1
245,'no checking','all paid',9,3447,'500<=X<1000','1<=X<4','female div/dep/mar',35,'unskilled resident',1
246,'no checking','existing paid',1,1258,'<100','4<=X<7','male single',25,'skilled',1
247,'no checking','critical/other existing credit',4,717,'<100','>=7','male single',52,'skilled',1
248,'no checking','no credits/all paid',10,1204,'100<=X<500','1<=X<4','male single',35,'skilled',1
249,'>=200','existing paid',3,1925,'<100','1<=X<4','male single',26,'skilled',1
250,'no checking','existing paid',4,433,'<100',unemployed,'female div/dep/mar',22,'skilled',0
251,'<0','critical/other existing credit',10,666,'>=1000','4<=X<7','female div/dep/mar',39,'unskilled resident',1
252,'>=200','existing paid',3,2251,'<100','1<=X<4','female div/dep/mar',46,'unskilled resident',1
253,'0<=X<200','existing paid',10,2150,'<100','1<=X<4','female div/dep/mar',24,'skilled',0
254,'no checking','delayed previously',3,4151,'100<=X<500','1<=X<4','male single',35,'skilled',1
255,'0<=X<200','existing paid',3,2030,'no known savings','4<=X<7','male single',24,'skilled',1
256,'0<=X<200','delayed previously',4,7418,'no known savings','1<=X<4','male single',27,'unskilled resident',1
257,'no checking','critical/other existing credit',4,2684,'<100','1<=X<4','male single',35,'unskilled resident',1
258,'<0','all paid',4,2149,'<100','1<=X<4','male div/sep',29,'skilled',0
259,'no checking','existing paid',2,3812,'100<=X<500','<1','female div/dep/mar',23,'skilled',1
260,'no checking','critical/other existing credit',4,1154,'100<=X<500',unemployed,'female div/dep/mar',57,'unskilled resident',1
261,'<0','existing paid',3,1657,'<100','1<=X<4','male single',27,'skilled',1
262,'<0','existing paid',4,1603,'<100','>=7','female div/dep/mar',55,'skilled',1
263,'<0','critical/other existing credit',10,5302,'<100','>=7','male single',36,'high qualif/self emp/mgmt',1
264,'no checking','critical/other existing credit',7,2748,'<100','>=7','female div/dep/mar',57,'unskilled resident',1
265,'no checking','critical/other existing credit',10,1231,'<100','>=7','male single',32,'unskilled resident',1
266,'0<=X<200','existing paid',4,802,'<100','>=7','male single',37,'skilled',0
267,'no checking','critical/other existing credit',1,6304,'no known savings','>=7','male single',36,'skilled',1
268,'no checking','existing paid',4,1533,'<100','<1','female div/dep/mar',38,'skilled',1
269,'<0','existing paid',10,8978,'<100','>=7','male div/sep',45,'high qualif/self emp/mgmt',0
270,'no checking','existing paid',4,999,'no known savings','>=7','male single',25,'skilled',1
271,'no checking','existing paid',10,2662,'no known savings','4<=X<7','male single',32,'skilled',1
272,'no checking','critical/other existing credit',3,1402,'500<=X<1000','4<=X<7','female div/dep/mar',37,'skilled',1
273,'0<=X<200','all paid',10,12169,'no known savings',unemployed,'male single',36,'high qualif/self emp/mgmt',1
274,'0<=X<200','existing paid',4,3060,'<100','4<=X<7','male single',28,'skilled',0
275,'<0','existing paid',6,11998,'<100','<1','male div/sep',34,'unskilled resident',0
276,'no checking','existing paid',4,2697,'<100','1<=X<4','male single',32,'skilled',1
277,'no checking','critical/other existing credit',4,2404,'<100','1<=X<4','female div/dep/mar',26,'skilled',1
278,'<0','existing paid',3,1262,'no known savings','>=7','male div/sep',49,'unskilled resident',1
279,'no checking','existing paid',3,4611,'<100','<1','female div/dep/mar',32,'skilled',0
280,'no checking','existing paid',4,1901,'100<=X<500','1<=X<4','male single',29,'high qualif/self emp/mgmt',1
281,'no checking','critical/other existing credit',2,3368,'>=1000','>=7','male single',23,'skilled',1
282,'no checking','existing paid',3,1574,'<100','1<=X<4','male single',50,'skilled',1
283,'>=200','all paid',4,1445,'no known savings','4<=X<7','male single',49,'unskilled resident',1
284,'no checking','critical/other existing credit',3,1520,'no known savings','>=7','male single',63,'skilled',1
285,'0<=X<200','critical/other existing credit',10,3878,'100<=X<500','<1','male div/sep',37,'skilled',1
286,'<0','existing paid',10,10722,'<100','<1','female div/dep/mar',35,'unskilled resident',1
287,'<0','existing paid',2,4788,'<100','4<=X<7','male single',26,'skilled',1
288,'0<=X<200','delayed previously',0,7582,'100<=X<500',unemployed,'male single',31,'high qualif/self emp/mgmt',1
289,'0<=X<200','existing paid',4,1092,'<100','1<=X<4','female div/dep/mar',49,'skilled',1
290,'<0','delayed previously',4,1024,'<100','<1','male mar/wid',48,'skilled',0
291,'no checking','existing paid',1,1076,'<100','1<=X<4','male mar/wid',26,'skilled',1
292,'0<=X<200','existing paid',2,9398,'<100','<1','male mar/wid',28,'high qualif/self emp/mgmt',0
293,'<0','critical/other existing credit',2,6419,'<100','>=7','female div/dep/mar',44,'high qualif/self emp/mgmt',1
294,'>=200','critical/other existing credit',2,4796,'<100','>=7','male single',56,'skilled',1
295,'no checking','critical/other existing credit',1,7629,'no known savings','>=7','male div/sep',46,'high qualif/self emp/mgmt',1
296,'0<=X<200','existing paid',3,9960,'<100','<1','female div/dep/mar',26,'skilled',0
297,'no checking','existing paid',2,4675,'no known savings','<1','female div/dep/mar',20,'skilled',1
298,'no checking','existing paid',10,1287,'no known savings','>=7','male single',45,'unskilled resident',1
299,'no checking','existing paid',3,2515,'<100','1<=X<4','male single',43,'skilled',1
300,'0<=X<200','critical/other existing credit',3,2745,'>=1000','4<=X<7','male single',32,'skilled',1
301,'no checking','existing paid',10,672,'<100',unemployed,'female div/dep/mar',54,'unemp/unskilled non res',1
